Risk factor,Unit,Delivery = 0 (n=152),Delivery = 1 (n=38),p‑value,Sig
Education Level,%,,,0.7992,
  1,%,0 (0/152),0 (0/38),,
  2,%,1.97 (3/152),0 (0/38),,
  3,%,2.63 (4/152),2.63 (1/38),,
  4,%,8.55 (13/152),7.89 (3/38),,
  5,%,59.2 (90/152),57.9 (22/38),,
  6,%,4.61 (7/152),10.5 (4/38),,
  7,%,19.7 (30/152),21.1 (8/38),,
  8,%,3.29 (5/152),0 (0/38),,
Socioeconomic Level,%,,,0.6598,
  1,%,17.1 (26/152),10.5 (4/38),,
  2,%,42.8 (65/152),47.4 (18/38),,
  3,%,32.9 (50/152),39.5 (15/38),,
  4,%,7.24 (11/152),0 (0/38),,
  5,%,0 (0/152),2.63 (1/38),,
