Risk factor,Unit,Live newborn (n=180),Stillbirth (n=10),p‑value,Sig
Education Level,%,,,0.7628,
  1,%,0 (0/180),0 (0/10),,
  2,%,1.67 (3/180),0 (0/10),,
  3,%,2.78 (5/180),0 (0/10),,
  4,%,8.33 (15/180),10 (1/10),,
  5,%,59.4 (107/180),50 (5/10),,
  6,%,5.56 (10/180),10 (1/10),,
  7,%,19.4 (35/180),30 (3/10),,
  8,%,2.78 (5/180),0 (0/10),,
Socioeconomic Level,%,,,0.169,
  1,%,14.4 (26/180),40 (4/10),,
  2,%,45 (81/180),20 (2/10),,
  3,%,33.9 (61/180),40 (4/10),,
  4,%,6.11 (11/180),0 (0/10),,
  5,%,0.556 (1/180),0 (0/10),,
Occupation,%,,,0.8946,
  1,%,28.3 (51/180),40 (4/10),,
  2,%,5.56 (10/180),10 (1/10),,
  3,%,13.3 (24/180),10 (1/10),,
  4,%,28.9 (52/180),30 (3/10),,
  5,%,4.44 (8/180),0 (0/10),,
  6,%,19.4 (35/180),10 (1/10),,
