Risk factor,Unit,Newborn = 0 (n=170),Newborn = 1 (n=20),p‑value,Sig
Education Level,%,,,0.7468,
  1,%,0 (0/170),0 (0/20),,
  2,%,1.76 (3/170),0 (0/20),,
  3,%,2.94 (5/170),0 (0/20),,
  4,%,7.65 (13/170),15 (3/20),,
  5,%,57.6 (98/170),70 (14/20),,
  6,%,5.88 (10/170),5 (1/20),,
  7,%,21.2 (36/170),10 (2/20),,
  8,%,2.94 (5/170),0 (0/20),,
Socioeconomic Level,%,,,0.1786,
  1,%,13.5 (23/170),35 (7/20),,
  2,%,44.7 (76/170),35 (7/20),,
  3,%,34.7 (59/170),30 (6/20),,
  4,%,6.47 (11/170),0 (0/20),,
  5,%,0.588 (1/170),0 (0/20),,
