Risk factor,Unit,IUGR‑SGA = 0 (n=146),IUGR‑SGA = 1 (n=44),p‑value,Sig
Education Level,%,,,0.7723,
  1,%,0 (0/146),0 (0/44),,
  2,%,1.37 (2/146),2.27 (1/44),,
  3,%,2.05 (3/146),4.55 (2/44),,
  4,%,7.53 (11/146),11.4 (5/44),,
  5,%,61 (89/146),52.3 (23/44),,
  6,%,6.16 (9/146),4.55 (2/44),,
  7,%,19.2 (28/146),22.7 (10/44),,
  8,%,2.74 (4/146),2.27 (1/44),,
Socioeconomic Level,%,,,0.1001,
  1,%,15.1 (22/146),18.2 (8/44),,
  2,%,46.6 (68/146),34.1 (15/44),,
  3,%,34.2 (50/146),34.1 (15/44),,
  4,%,3.42 (5/146),13.6 (6/44),,
  5,%,0.685 (1/146),0 (0/44),,
Occupation,%,,,0.1748,
  1,%,29.5 (43/146),27.3 (12/44),,
  2,%,3.42 (5/146),13.6 (6/44),,
  3,%,15.1 (22/146),6.82 (3/44),,
  4,%,28.8 (42/146),29.5 (13/44),,
  5,%,4.79 (7/146),2.27 (1/44),,
  6,%,18.5 (27/146),20.5 (9/44),,
